dataset,sample_idx,type,instruction,question,solution,student,suffix,markup,student_suffix
gaokao-2023,0,clean,0.47167304355394385,0.025729588881160684,0.0,0.1417183154048736,0.0,0.014269045973648822,0.1417183154048736
gaokao-2023,0,attacked,0.4175314749732779,0.02080431625263802,0.0,0.08253262225478712,0.16460400678844866,0.012236556554718472,0.2471366290432358
gsm8k,0,clean,0.5859490685752374,0.012229637278038177,0.007645891720737877,0.05354973013954362,0.0,0.00980401568923146,0.05354973013954362
gsm8k,0,attacked,0.5787074007043788,0.007111021747130282,0.0047870136052805354,0.031090730027477875,0.07331072946448182,0.00428629745518308,0.1044014594919597
math,0,clean,0.668854766218461,0.00661389001542339,0.005633149344619183,0.027114076102233542,0.0,0.01122672096920591,0.027114076102233542
math,0,attacked,0.46189844053356693,0.0138877406733865,0.01070135190752366,0.04358931022389481,0.10209618984554508,0.014893403418650676,0.1456855000694399
math23k,0,clean,0.6024754716044705,0.012129204795370224,0.0010689677470001495,0.03850192760177325,0.0,0.019478119447124156,0.03850192760177325
math23k,0,attacked,0.44262405020017415,0.022188658029180994,0.0010596543973394289,0.04484174866798726,0.17603222797816367,0.008770736576539661,0.22087397664615094
scientsbank,0,clean,0.6409847833695634,0.014246989888119314,0.0031504686893602633,0.011904257370815784,0.0,0.02221708995930962,0.011904257370815784
scientsbank,0,attacked,0.5053366179686424,0.010821310499834244,0.002723665493659302,0.01187125039038788,0.057402598037675105,0.01728947932916677,0.06927384842806299
