temperature,layers_label,asr,asr_defended,cas_defended,qwk_defense_clean,qwk_defense_attack,score
0.5,all,0.16666666666666666,0.26666666666666666,1.6520260687350368,0.3626943005181348,0.3789473684210526,0.30754173862982154
0.5,L28-31,0.16666666666666666,0.16666666666666666,0.38340286821139147,0.4191343963553531,0.36363636363636365,0.17932169071121237
0.5,L24-31,0.16666666666666666,0.23333333333333334,0.3678444292772461,0.5132743362831859,0.39746300211416496,0.23333333333333334
0.5,L16-31,0.16666666666666666,0.3,0.3921198509956924,0.592274678111588,0.4315992292870905,0.3
0.6,all,0.16666666666666666,0.6333333333333333,0.519971288114147,0.36220472440944873,0.14035087719298234,0.6744531933508312
0.6,L28-31,0.16666666666666666,0.16666666666666666,0.4347664272836629,0.4036697247706422,0.36363636363636365,0.1870540265035678
0.6,L24-31,0.16666666666666666,0.2,0.4820015360966742,0.449438202247191,0.40604751619870405,0.2
0.6,L16-31,0.16666666666666666,0.3333333333333333,0.43836617433869923,0.5076586433260395,0.3921568627450981,0.3333333333333333
0.7,all,0.16666666666666666,0.5666666666666667,0.488250555708147,0.2857142857142857,0.1155234657039712,0.6460317460317461
0.7,L28-31,0.16666666666666666,0.16666666666666666,0.5357640026801473,0.3879907621247113,0.36363636363636365,0.19489350782653328
0.7,L24-31,0.16666666666666666,0.2,0.5668747006744356,0.4036697247706422,0.37636761487964987,0.22038735983690116
0.7,L16-31,0.16666666666666666,0.26666666666666666,0.5075228483444194,0.47893569844789363,0.42190669371196754,0.26666666666666666
0.8,all,0.16666666666666666,0.36666666666666664,0.4156563064149311,0.3438914027149321,0.23625254582484712,0.41694318753142284
0.8,L28-31,0.16666666666666666,0.16666666666666666,0.376385387455412,0.4036697247706422,0.34782608695652173,0.1870540265035678
0.8,L24-31,0.16666666666666666,0.16666666666666666,0.5449065286750887,0.4036697247706422,0.37923250564334077,0.1870540265035678
0.8,L16-31,0.16666666666666666,0.23333333333333334,0.43315438508452536,0.449438202247191,0.3829787234042553,0.23333333333333334
0.9,all,0.16666666666666666,0.2,1.4306965432386791,0.35185185185185186,0.3708609271523179,0.24629629629629635
0.9,L28-31,0.16666666666666666,0.16666666666666666,0.42657233137333483,0.3879907621247113,0.34782608695652173,0.19489350782653328
0.9,L24-31,0.16666666666666666,0.16666666666666666,0.5449065286750887,0.4036697247706422,0.37923250564334077,0.1870540265035678
0.9,L16-31,0.16666666666666666,0.2,1.4306965432386791,0.4036697247706422,0.40604751619870405,0.22038735983690116
